score,run,niche,niche_source,niche_confidence,company,domain,segment,revenue_eur,employees,y_tunnus,google_ads,conv_tracking,meta_pixel,quality_issues,issue_flags,platform,email,phone,city,google_verified_live,google_advertiser_name,ads_status,advertiser_reconciliation,advertiser_match_score
48,resultsd,cleaning,keywords,0.5,Ensiluokkainen siivouspalvelu kotiin ja yrityksille | WashUP,washup.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,WashUP Oy,LIVE_CONFIRMED,match,1.00
48,resultsd,,none,0.0,Isännöinti Vuorma Oy | Isännöintitoimisto Oulu,vuorma.fi,C_ads_ok_site,,,,True,True,True,1,slow_response,wordpress,,,,True,Isännöinti Vuorma Oy,LIVE_CONFIRMED,match,1.00
43,resultsd,cleaning,keywords,0.5,"Diakon | Asuminen, Siivous, Kotihoito, Terveys, Juhla ja Hau",diakon.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Vida Design Oy,ADVERTISER_MISMATCH,mismatch,0.35
43,resultsd,cleaning,keywords,0.5,Thermostar kuivahöyrypesurit ekologiseen siivoukseen!,hygisafe.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,False,,TAG_STALE_OR_HIDDEN,n/a,
43,resultsd,cleaning,keywords,0.5,"Kuopio, Siilinjärvi, Tahko - Kotisiivous hinta, Kemikaaliton",kuopiontehosiivous.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,False,,TAG_STALE_OR_HIDDEN,n/a,
43,resultsd,cleaning,keywords,0.5,Siivoukset Oulun seudulla - Smobbi,smobbi.fi,B_ads_no_conv_tracking,,,,True,False,False,1,stale_copyright,wordpress,,,,True,Smobbi Oy,LIVE_CONFIRMED,match,1.00
43,resultsd,,none,0.0,Etusivu - SKH Isännöinti Oy,skh.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,SKH-Isännöinti Oy,LIVE_CONFIRMED,match,1.00
43,resultsd,,none,0.0,Parempaa isännöintiä - Tasotalo isännöinti,tasotalo.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Tasotalo Oy,LIVE_CONFIRMED,match,0.90
43,resultsd,,none,0.0,TiKo Isännöinti,tikoisannointi.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,squarespace,,,,True,TiKo Isännöinti Oy,LIVE_CONFIRMED,match,1.00
43,resultsd,,none,0.0,Tie tuottajilta ruokapöytiin - Tuoretie,tuoretie.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Tuoretie Oy,LIVE_CONFIRMED,match,1.00
43,resultsd,accounting,keywords,0.5,Selkeää ja tavoitettavaa isännöintiä - Trio Isännöinti,trioisannointi.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Trio Isännöinti,LIVE_CONFIRMED,match,1.00
43,resultsd,electrical,keywords,0.5,Telilä - Kumppani teollisuuden ja tulevaisuuden sähköurakoin,telila.fi,B_ads_no_conv_tracking,,,,True,False,False,1,slow_response,wordpress,,,,True,Telilän Sähkötyö Oy,LIVE_CONFIRMED,match,0.90
42,resultsd,,none,0.0,eTalo Isännöinti,etalo.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,eTalo Isännöinti Oy,LIVE_CONFIRMED,match,1.00
42,resultsd,,none,0.0,Yrityshaku ja päättäjähaku: Kaikki yritystiedot | Finder,finder.fi,C_ads_ok_site,,,,True,True,True,0,,nextjs,,,,True,Fonecta Oy,LIVE_CONFIRMED,likely_agency,0.46
42,resultsd,accounting,keywords,0.5,Laadukasta isännöintipalvelua - Helsingin Seudun Isännöitsij,hsi.fi,C_ads_ok_site,,,,True,True,True,0,,,,,,True,ESKO JUHANI PIETIKÄINEN,ADVERTISER_MISMATCH,mismatch,0.43
42,resultsd,cleaning,keywords,0.5,"Siivouspalvelut yrityksille ja taloyhtiöille - Turku, Raisio",huoltosiivous.fi,C_ads_ok_site,,,,True,True,True,0,,,,,,True,Huoltosiivous Turku Oy,ADVERTISER_MISMATCH,mismatch,0.58
42,resultsd,real_estate,keywords,0.5,Kiinteistötahkola / Kiinteistötahkola - isännöintiä ja välit,kiinteistotahkola.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,Kiinteistö-Tahkola Helsinki Oy,LIVE_CONFIRMED,match,0.90
42,resultsd,cleaning,keywords,0.5,Kodin siivouspalvelut - Kodinhoitajapäiväksi,kodinhoitajapaivaksi.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,Inkan Kotitalouspalvelut Oy,ADVERTISER_MISMATCH,mismatch,0.62
42,resultsd,cleaning,keywords,0.5,Kotisiivous - siivouspalvelu kotiin kokemuksella | Kotileena,kotileena.fi,C_ads_ok_site,,,,True,True,True,0,,,,,,True,Kotileena Oy,LIVE_CONFIRMED,match,1.00
42,resultsd,cleaning,keywords,0.5,"Kotirinki: kotisiivous, siivouspalvelu, kotiapu – Tilaa neti",kotirinki.fi,C_ads_ok_site,,,,True,True,True,0,,,,,,True,Kotirinki Oy,LIVE_CONFIRMED,match,0.90
42,resultsd,plumbing,keywords,0.5,LVI-työt Kuopio,lampovelho.fi,C_ads_ok_site,,,,True,True,True,0,,,,,,True,Lämpövelho Oy,ADVERTISER_MISMATCH,mismatch,0.08
42,resultsd,cleaning,keywords,0.5,Loiste Siivous – puhtaasti parempi siivous,loistesiivous.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,Loiste Siivous Oy,LIVE_CONFIRMED,match,1.00
42,resultsd,restaurant,keywords,0.5,Etusivu - Let&#039;s GO TAKSI,letsgo.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,DRide Oy,ADVERTISER_MISMATCH,mismatch,0.17
42,resultsd,plumbing,keywords,0.5,LVI asennukset Lohjalla hoitaa K&amp;T Pipe Oy,ktpipe.fi,A_ads_weak_site,,,,True,True,False,2,"stale_copyright,slow_response",wordpress,,,,True,K&T Pipe Oy,LIVE_CONFIRMED,match,0.90
42,resultsd,,none,0.0,Etusivu - Maansiirto Harry Mäkelä,maansiirtomakela.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,Maansiirto Harry Mäkelä Oy,LIVE_CONFIRMED,match,1.00
42,resultsd,,none,0.0,"Pesurivuokraus.fi - Tekstiilipesurin vuokraus, Höyrypesurin ",pesurivuokraus.fi,C_ads_ok_site,,,,True,True,True,0,,,,,,True,Wise Rental Services Oy,ADVERTISER_MISMATCH,mismatch,0.28
42,resultsd,cleaning,keywords,0.5,"Siivous-, saneeraus- ja vahinkopalvelut - Optimasiivous",optimasiivous.fi,C_ads_ok_site,,,,True,True,True,0,,wordpress,,,,True,Optimasiivous Oy,LIVE_CONFIRMED,match,1.00
